File,Signature,StartLine,EndLine,Suspiciousness
com.google.javascript.jscomp.PeepholeFoldConstants,"tryFoldShift(Node,Node,Node)",649,713,0.0022916789789020633
com.google.javascript.jscomp.PeepholeFoldConstants,"tryFoldArithmetic(Node,Node,Node)",538,583,0.0019934100365938245
com.google.javascript.jscomp.PeepholeFoldConstants,tryFoldUnaryOperator(Node),205,294,0.0019578693783771327
com.google.javascript.jscomp.ChainableReverseAbstractInterpreter,"getRestrictedByTypeOfResult(JSType,String,boolean)",550,589,0.0017937632101575546
com.google.javascript.rhino.jstype.JSType,matchesUint32Context(),340,347,0.0017878617745741674
com.google.javascript.jscomp.NodeUtil,opToStr(int),1347,1400,0.0017608416158388547
com.google.javascript.jscomp.PeepholeFoldConstants,optimizeSubtree(Node),69,86,0.0017317441966480014
com.google.javascript.jscomp.TypeCheck,"visitBinaryOperator(int,NodeTraversal,Node)",1455,1519,0.0017253178437626688
com.google.javascript.rhino.Node,getDouble(),874,882,0.0017204809870341512
com.google.javascript.rhino.Node,setDouble(double),884,892,0.0017124074068556303
com.google.javascript.jscomp.CompilerInput,getPathRelativeToClosureBase(),94,99,0.0016922400922178354
com.google.javascript.jscomp.NodeUtil,opToStrNoFail(int),1402,1417,0.0016706796971832632
com.google.javascript.jscomp.ChainableReverseAbstractInterpreter,getNativeTypeForTypeOf(String),595,618,0.0016695700309377122
com.google.javascript.rhino.jstype.JSType,matchesStringContext(),357,367,0.0016667037884329167
com.google.javascript.jscomp.JSModule,getPathRelativeToClosureBase(),86,89,0.0016567698642659526
com.google.javascript.jscomp.PeepholeFoldConstants,"tryFoldBitAndOr(Node,Node,Node)",597,647,0.0016513914433695465
com.google.javascript.jscomp.NodeUtil,isValidPropertyName(String),1636,1650,0.0016498605918169747
com.google.javascript.jscomp.PeepholeFoldConstants,tryFoldBinaryOperator(Node),88,149,0.0016371759765380594
com.google.javascript.rhino.jstype.UnionType,matchesStringContext(),119,139,0.001632465491119028
com.google.javascript.rhino.Node,copyInformationFrom(Node),1889,1906,0.0016060320211673368
com.google.javascript.rhino.jstype.JSType,matchesInt32Context(),330,338,0.0016021996079972883
com.google.javascript.rhino.jstype.JSTypeRegistry,"registerTypeImplementingInterface(FunctionType,ObjectType)",687,696,0.001592835270073039
com.google.javascript.jscomp.TypeValidator,"expectBitwiseable(NodeTraversal,Node,JSType,String)",199,208,0.0015925563526666682
com.google.javascript.rhino.jstype.UnionType,matchesNumberContext(),102,117,0.0015892605689021824
com.google.javascript.rhino.jstype.JSType,matchesNumberContext(),349,355,0.00158834341947989
com.google.javascript.jscomp.CodeConsumer,"addOp(String,boolean)",206,234,0.0015781373739350156
com.google.javascript.jscomp.SemanticReverseAbstractInterpreter,"getPreciserScopeKnowingConditionOutcome(Node,FlowScope,boolean)",119,258,0.0015696518804552968
com.google.javascript.jscomp.TypeValidator,"expectSwitchMatchesCase(NodeTraversal,Node,JSType,JSType)",238,255,0.0015616089104483182
com.google.javascript.jscomp.CodeGenerator,getContextForNoInOperator(Context),1018,1025,0.001559306511419618
com.google.javascript.jscomp.NodeUtil,precedence(int),659,734,0.0015591921062239299
com.google.javascript.jscomp.CodeGenerator,"add(Node,Context)",76,648,0.0015585111679988788
com.google.javascript.rhino.Node,getString(),894,902,0.0015572395125459716
com.google.javascript.rhino.Node,setString(String),904,912,0.0015562163908566938
com.google.javascript.jscomp.CodeGenerator,clearContextForNoInOperator(Context),1027,1036,0.0015521918197968095
com.google.javascript.jscomp.NodeUtil,"functionCallHasSideEffects(Node,AbstractCompiler)",512,563,0.001549312912407143
com.google.javascript.rhino.jstype.JSType,canTestForEqualityWith(JSType),465,473,0.001543527538830114
com.google.javascript.rhino.jstype.JSType,canTestForShallowEqualityWith(JSType),510,519,0.0015406016250449049
com.google.javascript.jscomp.LineNumberCheck,"visit(NodeTraversal,Node,Node)",66,78,0.0015282437862458144
com.google.javascript.jscomp.CodeConsumer,addNumber(double),236,262,0.0015235463463482727
com.google.javascript.jscomp.TypeCheck,"visit(NodeTraversal,Node,Node)",434,790,0.0015182757967590588
com.google.javascript.rhino.jstype.ArrowType,isSubtype(JSType),81,142,0.0015077122376739235
com.google.javascript.rhino.jstype.ArrowType,visit(Visitor<T>),224,227,0.0014956888620366775
com.google.javascript.rhino.jstype.ArrowType,getLeastSupertype(JSType),209,212,0.0014931045104853613
com.google.javascript.rhino.jstype.ArrowType,testForEquality(JSType),219,222,0.0014931045104853613
com.google.javascript.rhino.jstype.JSTypeRegistry,"registerPropertyOnType(String,JSType)",575,612,0.0014925892455524598
com.google.javascript.rhino.jstype.ArrowType,getGreatestSubtype(JSType),214,217,0.0014918329400512354
com.google.javascript.jscomp.DefaultCodingConvention,"extractClassNameIfProvide(Node,Node)",89,93,0.0014821272421529866
com.google.javascript.jscomp.DefaultCodingConvention,"extractClassNameIfRequire(Node,Node)",95,99,0.0014821272421529866
com.google.javascript.jscomp.NodeUtil,isAssociative(int),736,753,0.0014821272421529866
com.google.javascript.jscomp.SourceFile,getRegion(int),184,233,0.001476358752022947
com.google.javascript.rhino.Node,siblings(),1208,1219,0.0014710552523778953
com.google.javascript.jscomp.CodeGenerator,"addExpr(Node,int,Context)",762,772,0.0014710552523778953
com.google.javascript.rhino.Node,children(),1191,1206,0.0014679404094530817
com.google.javascript.jscomp.PeepholeOptimizationsPass,"visit(NodeTraversal,Node,Node)",63,86,0.001463751977201628
com.google.javascript.jscomp.TypeCheck,"ensureTyped(NodeTraversal,Node,JSType)",1639,1681,0.001460264986700241
com.google.javascript.jscomp.parsing.ParserRunner,"parse(String,String,Config,ErrorReporter,Logger)",70,114,0.0014538400442490923
com.google.javascript.rhino.jstype.JSTypeRegistry,initializeBuiltInTypes(),228,529,0.001446214797081025
com.google.javascript.rhino.jstype.UnionType,matchesObjectContext(),141,166,0.0014450939764336472
com.google.javascript.rhino.testing.BaseJSTypeTestCase,addNativeProperties(JSTypeRegistry),224,378,0.0014388800893261455
com.google.javascript.jscomp.NodeTraversal,throwUnexpectedException(Exception),218,235,0.0014338422723107458
com.google.javascript.jscomp.JSModuleGraph,manageDependencies(List<CompilerInput>),286,354,0.0014329145730082797
com.google.javascript.jscomp.LineNumberCheck,"shouldTraverse(NodeTraversal,Node,Node)",57,64,0.0014317425488757684
com.google.javascript.jscomp.CodeGenerator,"addNonEmptyExpression(Node,Context,boolean)",658,717,0.001429885489289161
com.google.javascript.rhino.jstype.ObjectType,cast(JSType),436,441,0.0014188338028654048
com.google.javascript.jscomp.CodeGenerator,"CodeGenerator(CodeConsumer,Charset)",46,58,0.001418611943203502
com.google.javascript.rhino.jstype.JSType,hashCode(),325,328,0.0014174092636949417
com.google.javascript.jscomp.TypeValidator,getJSType(Node),666,681,0.001415292341321081
com.google.javascript.jscomp.TypeCheck,getJSType(Node),1589,1604,0.001415292341321081
com.google.javascript.jscomp.NodeTraversal,formatNodePosition(Node),290,303,0.0014142156755360324
com.google.javascript.jscomp.CompilerOptions,setColorizeErrorOutput(boolean),887,889,0.001413759401543039
com.google.javascript.rhino.jstype.JSType,differsFrom(JSType),795,810,0.0014132974232912597
com.google.javascript.rhino.jstype.PrototypeObjectType,"PrototypeObjectType(JSTypeRegistry,String,ObjectType)",83,97,0.0014122464752224426
com.google.javascript.rhino.jstype.JSType,"resolve(ErrorReporter,StaticScope<JSType>)",866,892,0.001412134890215497
com.google.javascript.rhino.testing.BaseJSTypeTestCase,initTypes(),119,222,0.0014115010474721364
com.google.javascript.jscomp.CodePrinter,"toSource(Node,Format,boolean,int,SourceMap,Charset)",575,601,0.0014088404398714324
com.google.javascript.jscomp.PeepholeFoldConstants,"tryFoldLeftChildAdd(Node,Node,Node)",472,512,0.001408247559996687
com.google.javascript.jscomp.ProcessDefines,isValidDefineType(JSTypeExpression),156,164,0.0014054685453045045
com.google.javascript.jscomp.CompilerOptions,setManageClosureDependencies(boolean),925,931,0.0014044047059850898
com.google.javascript.jscomp.CompilerInput,regenerateDependencyInfoIfNecessary(),167,213,0.0014015543801616105
com.google.javascript.jscomp.NodeUtil,newUndefinedNode(Node),1725,1736,0.0014014399016691313
com.google.javascript.jscomp.NodeUtil,isLatin(String),1610,1634,0.0014002912500130928
com.google.javascript.rhino.Node,tokenToName(int),1479,1600,0.0013980838105270758
com.google.javascript.rhino.Token,name(int),270,442,0.0013980838105270758
com.google.javascript.jscomp.CodeGenerator,identifierEscape(String),951,971,0.001395580167673472
com.google.javascript.jscomp.SyntacticScopeCreator,"declareVar(String,Node,Node,Node,JSType,Node)",230,251,0.0013944691943931745
com.google.javascript.jscomp.CompilerOptions,shouldColorizeErrorOutput(),891,893,0.001391785032944235
com.google.javascript.jscomp.CodeGenerator,"jsString(String,CharsetEncoder)",838,866,0.001391218125055459
com.google.javascript.jscomp.TypedCodeGenerator,"TypedCodeGenerator(CodeConsumer,Charset)",37,39,0.0013891688239675102
com.google.javascript.jscomp.CodeGenerator,"regexpEscape(String,CharsetEncoder)",868,871,0.0013870640712416544
com.google.javascript.rhino.Node,"toString(StringBuilder,boolean,boolean,boolean)",931,1047,0.0013840220999884103
com.google.javascript.jscomp.CodeGenerator,"strEscape(String,char,String,String,String,CharsetEncoder)",887,949,0.0013838619540833112
com.google.javascript.jscomp.CheckGlobalNames,"reportRefToUndefinedName(Name,Ref)",138,157,0.0013825475447080651
com.google.javascript.rhino.jstype.PrototypeObjectType,getPropertiesCount(),119,135,0.0013816629708730647
com.google.javascript.rhino.Node,copyInformationFromForTree(Node),1908,1921,0.0013790820076618974
com.google.javascript.jscomp.NodeUtil,isConstantName(Node),1969,1988,0.0013776092742952232
com.google.javascript.jscomp.ChainableReverseAbstractInterpreter,getRestrictedWithoutNull(JSType),543,548,0.0013774228582877758
com.google.javascript.jscomp.LineNumberCheck,setCheckSubTree(Node),45,49,0.0013763075970849295
com.google.javascript.jscomp.LineNumberCheck,"process(Node,Node)",51,55,0.0013763075970849295
com.google.javascript.jscomp.Compiler,getFunctionalInformationMap(),1712,1714,0.0013758746244690707
com.google.javascript.jscomp.ChainableReverseAbstractInterpreter,getRestrictedWithoutUndefined(JSType),536,541,0.0013756657460528249
com.google.javascript.rhino.jstype.NoObjectType,hashCode(),282,285,0.0013754069423026118
com.google.javascript.rhino.RhinoException,initLineNumber(int),120,133,0.001374911095747436
com.google.javascript.rhino.RhinoException,initColumnNumber(int),143,156,0.001374911095747436
com.google.javascript.jscomp.NodeUtil,"setDebugInformation(Node,Node,String)",1561,1573,0.0013739365046738807
com.google.javascript.rhino.RhinoException,"recordErrorOrigin(String,int,String,int)",181,201,0.001373794970425523
com.google.javascript.jscomp.CompilerOptions,setCollapsePropertiesOnExternTypes(boolean),839,846,0.0013728470155027182
com.google.javascript.rhino.jstype.NumberType,toString(),95,98,0.0013705039729837486
com.google.javascript.jscomp.JSModuleGraph,"getDeepestCommonDependency(JSModule,JSModule)",165,191,0.0013694434042363555
com.google.javascript.rhino.jstype.NumberType,NumberType(JSTypeRegistry),53,55,0.0013694361337533495
com.google.javascript.jscomp.SemanticReverseAbstractInterpreter,"caseNameOrGetProp(Node,FlowScope,boolean)",383,394,0.001367207541280513
com.google.javascript.rhino.jstype.JSType,isNumber(),176,183,0.0013669831969900315
com.google.javascript.jscomp.CompilerInput,getRegion(int),264,275,0.0013669034109274822
com.google.javascript.jscomp.SemanticReverseAbstractInterpreter,"caseTypeOf(Node,JSType,String,boolean,FlowScope)",396,406,0.0013667221828587844
com.google.javascript.rhino.Node,setQuotedString(),2107,2112,0.0013661934207350598
com.google.javascript.jscomp.TypeCheck,"visitVar(NodeTraversal,Node)",1226,1266,0.0013656960042652848
com.google.javascript.rhino.Node,newNumber(double),519,521,0.0013648273638090683
com.google.javascript.jscomp.CompilerInput,getLine(int),252,262,0.0013646718630380087
com.google.javascript.jscomp.NodeUtil,nodeTypeMayHaveSideEffects(Node),565,591,0.0013641789150357017
com.google.javascript.jscomp.TypeValidator,"expectNumber(NodeTraversal,Node,JSType,String)",188,197,0.0013640289826680361
com.google.javascript.rhino.Node,"newNumber(double,int,int)",523,525,0.0013640226526011059
com.google.javascript.jscomp.NodeUtil,"newQualifiedNameNode(String,Node,String)",1541,1559,0.0013638963119825256
com.google.javascript.jscomp.SourceFile,getLine(int),139,182,0.0013638084023967015
com.google.javascript.jscomp.SemanticReverseAbstractInterpreter,"caseEquality(Node,Node,FlowScope,Function<TypePair,TypePair>)",266,305,0.0013637907407287285
com.google.javascript.rhino.Node,getExistingIntProp(int),823,829,0.001363545158189335
com.google.javascript.jscomp.TypeValidator,"expectStringOrNumber(NodeTraversal,Node,JSType,String)",210,220,0.0013630787168427399
com.google.javascript.rhino.Node,"mergeLineCharNo(int,int)",1148,1162,0.0013627656445986615
com.google.javascript.rhino.jstype.JSTypeRegistry,initializeRegistry(),531,555,0.0013624914482326562
com.google.javascript.jscomp.SemanticReverseAbstractInterpreter,"caseIn(Node,String,FlowScope)",435,467,0.0013624335920830032
com.google.javascript.jscomp.CheckAccessControls,isValidPrivateConstructorAccess(Node),432,448,0.001360557990122695
com.google.javascript.jscomp.JSError,"JSError(String,int,int,DiagnosticType,CheckLevel,String)",132,146,0.0013585768869308588
com.google.javascript.jscomp.SemanticReverseAbstractInterpreter,"caseAndOrNotShortCircuiting(Node,Node,FlowScope,boolean)",307,359,0.00135855881882179
com.google.javascript.rhino.RhinoException,columnNumber(),135,141,0.0013582162686713902
com.google.javascript.rhino.RhinoException,lineNumber(),111,118,0.0013579782813090727
com.google.javascript.jscomp.parsing.TypeSafeDispatcher,process(AstNode),119,282,0.0013573021957640325
com.google.javascript.rhino.jstype.JSType,getLeastSupertype(JSType),528,546,0.0013572801869075914
com.google.javascript.rhino.jstype.JSType,getGreatestSubtype(JSType),562,580,0.0013565823753663513
com.google.javascript.rhino.Node,extractLineno(int),1164,1174,0.0013561134067315663
com.google.javascript.rhino.Node,extractCharno(int),1176,1186,0.0013561134067315663
com.google.javascript.jscomp.Compiler,"getSourceLine(String,int)",1653,1662,0.001355657753663187
com.google.javascript.jscomp.Compiler,"getSourceRegion(String,int)",1664,1673,0.001355657753663187
com.google.javascript.jscomp.NodeUtil,"newVarNode(String,Node)",1738,1752,0.001355514859561663
com.google.javascript.jscomp.NodeUtil,"newName(String,Node)",1575,1589,0.001354932114421481
com.google.javascript.jscomp.NodeTraversal,getLineNumber(),375,389,0.0013543152029625396
com.google.javascript.jscomp.SemanticReverseAbstractInterpreter,"caseAndOrMaybeShortCircuiting(Node,Node,FlowScope,boolean)",361,381,0.0013538961552680496
com.google.javascript.jscomp.SemanticReverseAbstractInterpreter,"caseInstanceOf(Node,Node,FlowScope,boolean)",408,433,0.0013538961552680496
